"start","end","duration_hours","n_records","segment_id","start_x","start_y","length_max","length_min","delay_max","delay_min","absolute_speed_max","absolute_speed_min","message"
2017-01-17 04:19:00,2017-01-17 11:40:00,7.3,816,"42 49","4132952","5628966",2153,2153,75,75,51,51,"M18 northeastern at Doncaster 2 km slow traffic"
2017-01-24 13:23:00,2017-01-25 11:45:00,22.4,1264,"69","4134567 4134104 4134358","5630023 5629745 5629895",2433,887,107,30,57,43,"M18 northeastern at Doncaster 877 m slow traffic M18 eastbound at Doncaster 2.1 km slow traffic M18 eastbound at Doncaster 2 km slow traffic"
2017-01-24 13:23:00,2017-01-28 04:09:00,86.8,4942,"66","4134567 4134104 4134358 4134383 4133992 4133953","5630023 5629745 5629895 5629910 5629679 5629656",3113,824,182,30,57,38,"M18 northeastern at Doncaster 877 m slow traffic M18 eastbound at Doncaster 2.1 km slow traffic M18 eastbound at Doncaster 2 km slow traffic M18 eastbound at Doncaster 1.6 km slow traffic M18 northeastern at Doncaster 827 m queuing traffic M18 northeastern in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 1.7 km slow traffic M18 eastbound at Doncaster 1.5 km slow traffic M18 eastbound at Doncaster 1.8 km slow traffic M18 eastbound at Doncaster 2.7 km slow traffic M18 eastbound at Doncaster 1.9 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 2.7 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.1 km queuing traffic M18 eastbound at Doncaster 2.9 km slow traffic"
2017-01-24 20:34:00,2017-01-28 04:09:00,79.6,12948,"63 64 65","4134104 4134358 4134383 4133992 4133953","5629745 5629895 5629910 5629679 5629656",3113,1505,182,61,57,39,"M18 eastbound at Doncaster 2.1 km slow traffic M18 eastbound at Doncaster 2 km slow traffic M18 eastbound at Doncaster 1.6 km slow traffic M18 northeastern in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 1.7 km slow traffic M18 eastbound at Doncaster 1.5 km slow traffic M18 eastbound at Doncaster 1.8 km slow traffic M18 eastbound at Doncaster 2.7 km slow traffic M18 eastbound at Doncaster 1.9 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 2.7 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.1 km queuing traffic M18 eastbound at Doncaster 2.9 km slow traffic"
2017-01-24 20:34:00,2017-01-28 05:37:00,81,4519,"59","4134104 4134358 4134383 4133992 4133953 4133850","5629745 5629895 5629910 5629679 5629656 5629595",3113,1505,182,61,57,39,"M18 eastbound at Doncaster 2.1 km slow traffic M18 eastbound at Doncaster 2 km slow traffic M18 eastbound at Doncaster 1.6 km slow traffic M18 northeastern in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 1.7 km slow traffic M18 eastbound at Doncaster 1.5 km slow traffic M18 eastbound at Doncaster 1.8 km slow traffic M18 eastbound at Doncaster 2.7 km slow traffic M18 eastbound at Doncaster 1.9 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 2.7 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.1 km queuing traffic M18 eastbound at Doncaster 2.9 km slow traffic M18 eastbound at Doncaster 1.7 km slow traffic"
2017-01-25 18:15:00,2017-01-26 02:24:00,8.2,435,"70","4134383","5629910",1864,1864,84,84,44,44,"M18 northeastern in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 1.7 km slow traffic"
2017-01-25 18:15:00,2017-01-26 17:18:00,23.1,1301,"69","4134383 4134358","5629910 5629895",1864,1505,87,81,44,42,"M18 northeastern in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 1.7 km slow traffic M18 eastbound at Doncaster 1.5 km slow traffic M18 eastbound at Doncaster 1.8 km slow traffic"
2017-01-26 23:19:00,2017-01-27 14:51:00,15.5,840,"70","4134104 4133953","5629745 5629656",3113,2612,182,104,51,39,"M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 2.7 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.1 km queuing traffic"
2017-01-26 23:19:00,2017-01-28 04:09:00,28.8,1514,"69","4134104 4133953","5629745 5629656",3113,2433,182,104,51,39,"M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 2.7 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.1 km queuing traffic M18 eastbound at Doncaster 2.9 km slow traffic M18 eastbound at Doncaster 2.1 km slow traffic"
2017-01-27 06:20:00,2017-01-28 12:41:00,30.4,1479,"57","4133953 4133850","5629656 5629595",3113,473,182,31,55,39,"M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.1 km queuing traffic M18 eastbound at Doncaster 2.9 km slow traffic M18 eastbound at Doncaster 1.7 km slow traffic M18 eastbound at Doncaster 959 m slow traffic"
2017-01-27 22:13:00,2017-01-28 12:41:00,14.5,632,"55","4133850","5629595",1690,473,100,31,55,40,"M18 eastbound at Doncaster 1.7 km slow traffic M18 eastbound at Doncaster 959 m slow traffic"
2017-01-27 22:13:00,2017-01-30 08:53:00,58.7,6223,"15 17","4132580 4132630 4132580 4132630 4132579","5628165 5628154 5628165 5628154 5628166",940,786,223,152,14,11,"A631 westbound Bawtry Road in direction A631/Bawtry/Rotherham at Rotherham 825 m queuing traffic A631 westbound Bawtry Road in direction A631/Bawtry/Rotherham at Rotherham 967 m queuing traffic A631 westbound Bawtry Road in direction A631/Bawtry/Rotherham at Rotherham 825 m queuing traffic A631 westbound Bawtry Road in direction A631/Bawtry/Rotherham at Rotherham 967 m queuing traffic A631 westbound Bawtry Road in direction Rotherham/Wickersley/Bramley/A631 at Rotherham 791 m queuing traffic"
2017-01-28 11:57:00,2017-01-29 17:07:00,29.2,4500,"11 13 14","4132630","5628154",940,940,223,193,12,11,"A631 westbound Bawtry Road in direction A631/Bawtry/Rotherham at Rotherham 967 m queuing traffic"
2017-01-29 03:34:00,2017-01-29 10:50:00,7.3,206,"69","4134612","5630056",725,725,75,75,28,28,"M18 northeastern at Doncaster stationary traffic"
2017-01-29 03:34:00,2017-01-30 23:58:00,44.4,2227,"66","4134612 4134383 4134495 4134358 4133922","5630056 5629910 5629976 5629895 5629638",3037,725,287,34,48,27,"M18 northeastern at Doncaster stationary traffic M18 eastbound at Doncaster 1.5 km slow traffic M18 northeastern at Doncaster 794 m slow traffic M18 eastbound at Doncaster 1.2 km slow traffic M18 eastbound at Doncaster 1.8 km queuing traffic M18 eastbound at Doncaster 3.1 km queuing traffic M18 eastbound at Doncaster stationary traffic M18 eastbound at Doncaster 2 km queuing traffic"
2017-01-29 10:44:00,2017-01-29 18:16:00,7.5,235,"59","4134383","5629910",1442,1442,67,67,47,47,"M18 eastbound at Doncaster 1.5 km slow traffic"
2017-01-29 10:44:00,2017-01-30 23:58:00,37.2,6063,"63 64 65","4134383 4134495 4134358 4133922","5629910 5629976 5629895 5629638",3037,925,287,34,48,27,"M18 eastbound at Doncaster 1.5 km slow traffic M18 northeastern at Doncaster 794 m slow traffic M18 eastbound at Doncaster 1.2 km slow traffic M18 eastbound at Doncaster 1.8 km queuing traffic M18 eastbound at Doncaster 3.1 km queuing traffic M18 eastbound at Doncaster stationary traffic M18 eastbound at Doncaster 2 km queuing traffic"
2017-01-30 00:28:00,2017-01-30 08:53:00,8.4,1308,"11 13 14","4132630","5628154",940,940,166,166,14,14,"A631 westbound Bawtry Road in direction A631/Bawtry/Rotherham at Rotherham 967 m queuing traffic"
2017-01-30 00:28:00,2017-01-30 23:58:00,23.5,1360,"59","4134383 4134358 4133922","5629910 5629895 5629638",3037,1298,287,56,46,27,"M18 eastbound at Doncaster 1.2 km slow traffic M18 eastbound at Doncaster 1.8 km queuing traffic M18 eastbound at Doncaster 3.1 km queuing traffic M18 eastbound at Doncaster stationary traffic M18 eastbound at Doncaster 2 km queuing traffic"
2017-01-30 07:44:00,2017-01-30 23:58:00,16.2,701,"69","4134358 4133922","5629895 5629638",3037,1588,287,120,36,28,"M18 eastbound at Doncaster 1.8 km queuing traffic M18 eastbound at Doncaster 3.1 km queuing traffic M18 eastbound at Doncaster 2 km queuing traffic"
2017-01-30 15:01:00,2017-01-30 22:11:00,7.2,202,"57","4133922","5629638",3037,3037,287,287,28,28,"M18 eastbound at Doncaster 3.1 km queuing traffic"
2017-05-01 00:00:00,2017-05-30 23:55:00,719.9,34560,"79 80 81 86","4135145","5630452",1493,1493,47,35,80,80,"M18 eastbound at Doncaster roadworks"
2017-05-12 03:25:00,2017-05-12 03:55:00,0.5,8,"53 55","4133540","5629413",1029,1029,35,35,57,57,"M18 eastbound at Doncaster 1.1 km slow traffic"
2017-05-12 04:35:00,2017-05-13 06:40:00,26.1,316,"53 55","4133540","5629413",1029,1029,35,35,57,57,"M18 eastbound at Doncaster 1.1 km slow traffic"
2017-05-13 00:15:00,2017-05-14 07:25:00,31.2,1560,"59 63 64 65 66","4134104","5629745",1708,1708,47,47,57,57,"M18 eastbound at Doncaster 1.5 km slow traffic"
2017-05-13 07:40:00,2017-05-13 08:30:00,0.8,10,"53 55","4133540","5629413",1029,1029,35,35,57,57,"M18 eastbound at Doncaster 1.1 km slow traffic"
2017-05-14 08:00:00,2017-05-14 11:40:00,3.7,130,"59 63 64 65 66","4134104","5629745",1708,1708,47,47,57,57,"M18 eastbound at Doncaster 1.5 km slow traffic"
2017-06-01 00:00:00,2017-06-29 23:55:00,695.9,192096,"29 31 34 36 39 41 42 49 53 55 57 59 63 64 65 66 69 70 72 73 74 75 77","4132554","5628024",10569,10569,0,0,0,0,"M18 northeastern in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Rotherham blocked"
2017-07-01 00:00:00,2017-07-24 19:45:00,571.8,27408,"79 80 81 86","4135145","5630452",1493,1493,0,0,80,80,"M18 eastbound at Doncaster roadworks"
2017-09-03 09:40:00,2017-09-05 00:05:00,38.4,381,"66","4134567","5630023",680,680,41,41,40,40,"M18 northeastern at Doncaster 728 m slow traffic"
2017-09-05 00:40:00,2017-09-05 01:15:00,0.6,6,"66","4134567","5630023",680,680,41,41,40,40,"M18 northeastern at Doncaster 728 m slow traffic"
2017-09-05 02:15:00,2017-09-05 02:35:00,0.3,5,"66","4134567","5630023",680,680,41,41,40,40,"M18 northeastern at Doncaster 728 m slow traffic"
2017-10-01 00:00:00,2017-10-01 00:45:00,0.8,12,"179 180","4138750","5634516",280,280,33,33,23,23,"At Doncaster 271 m queuing traffic"
2017-10-01 01:25:00,2017-10-02 07:40:00,30.2,684,"179 180","4138750","5634516",280,280,33,33,23,23,"At Doncaster 271 m queuing traffic"
2017-10-02 08:20:00,2017-10-02 10:30:00,2.2,34,"179 180","4138750","5634516",280,280,33,33,23,23,"At Doncaster 271 m queuing traffic"
2017-10-04 22:30:00,2017-10-04 22:40:00,0.2,6,"81 86","4135208","5630499",1265,1265,69,69,43,43,"M18 eastbound at Doncaster 1.3 km slow traffic"
2017-10-04 23:15:00,2017-10-08 01:05:00,73.8,812,"86","4135208 4135113","5630499 5630428",1674,1265,69,55,55,43,"M18 eastbound at Doncaster 1.3 km slow traffic M18 eastbound at Doncaster 1.7 km slow traffic"
2017-10-04 23:15:00,2017-10-30 23:55:00,624.7,7456,"81","4135208 4135113 4135023 4134917 4134757 4134612 4134358 4134383 4134104 4133992 4133922 4133850 4134540 4135099 4135145","5630499 5630428 5630362 5630282 5630164 5630056 5629895 5629910 5629745 5629679 5629638 5629595 5630005 5630418 5630452",5944,1265,506,55,80,27,"M18 eastbound at Doncaster 1.3 km slow traffic M18 eastbound at Doncaster 1.7 km slow traffic M18 eastbound at Doncaster 1.8 km slow traffic M18 eastbound at Doncaster 2.2 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.2 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.4 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 4.2 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 4 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster stationary traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.5 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.7 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.9 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.7 km slow traffic M18 eastbound at Doncaster roadworks"
2017-10-06 09:55:00,2017-10-06 12:00:00,2.1,56,"77 79 80 88","4135113","5630428",1674,1674,55,55,55,55,"M18 eastbound at Doncaster 1.7 km slow traffic"
2017-10-06 13:00:00,2017-10-06 13:25:00,0.4,20,"77 79 80 88","4135113","5630428",1674,1674,55,55,55,55,"M18 eastbound at Doncaster 1.7 km slow traffic"
2017-10-06 14:15:00,2017-10-08 01:05:00,34.8,379,"88","4135113","5630428",1674,1674,55,55,55,55,"M18 eastbound at Doncaster 1.7 km slow traffic"
2017-10-06 14:15:00,2017-10-24 04:00:00,421.8,5038,"77","4135113 4135023 4134917 4134757 4134612 4134358 4134383 4134104 4133992 4133922 4133850 4134540 4135099","5630428 5630362 5630282 5630164 5630056 5629895 5629910 5629745 5629679 5629638 5629595 5630005 5630418",5944,1656,506,55,55,27,"M18 eastbound at Doncaster 1.7 km slow traffic M18 eastbound at Doncaster 1.8 km slow traffic M18 eastbound at Doncaster 2.2 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.2 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.4 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 4.2 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 4 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster stationary traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.5 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.7 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.9 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.7 km slow traffic"
