"start","end","duration_hours","n_records","segment_id","start_x","start_y","length_max","length_min","delay_max","delay_min","absolute_speed_max","absolute_speed_min","message"
2017-10-06 14:15:00,2017-10-30 23:55:00,585.7,14046,"79 80","4135113 4135023 4134917 4134757 4134612 4134358 4134383 4134104 4133992 4133922 4133850 4134540 4135099 4135145","5630428 5630362 5630282 5630164 5630056 5629895 5629910 5629745 5629679 5629638 5629595 5630005 5630418 5630452",5944,1493,506,55,80,27,"M18 eastbound at Doncaster 1.7 km slow traffic M18 eastbound at Doncaster 1.8 km slow traffic M18 eastbound at Doncaster 2.2 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.2 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.4 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 4.2 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 4 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster stationary traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.5 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.7 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.9 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.7 km slow traffic M18 eastbound at Doncaster roadworks"
2017-10-07 18:30:00,2017-10-07 18:40:00,0.2,4,"74 75","4135023","5630362",1813,1813,84,84,45,45,"M18 eastbound at Doncaster 1.8 km slow traffic"
2017-10-07 19:30:00,2017-10-22 21:35:00,362.1,4286,"74","4135023 4134917 4134757 4134612 4134358 4134383 4134104 4133992 4133922 4133850 4134540","5630362 5630282 5630164 5630056 5629895 5629910 5629745 5629679 5629638 5629595 5630005",5944,1813,506,84,47,27,"M18 eastbound at Doncaster 1.8 km slow traffic M18 eastbound at Doncaster 2.2 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.2 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.4 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 4.2 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 4 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster stationary traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.5 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.7 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.9 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.7 km slow traffic"
2017-10-07 19:30:00,2017-10-24 04:00:00,392.5,4657,"75","4135023 4134917 4134757 4134612 4134358 4134383 4134104 4133992 4133922 4133850 4134540 4135099","5630362 5630282 5630164 5630056 5629895 5629910 5629745 5629679 5629638 5629595 5630005 5630418",5944,1656,506,84,47,27,"M18 eastbound at Doncaster 1.8 km slow traffic M18 eastbound at Doncaster 2.2 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.2 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.4 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 4.2 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 4 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster stationary traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.5 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.7 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.9 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.7 km slow traffic M18 eastbound at Doncaster 1.7 km slow traffic"
2017-10-08 01:20:00,2017-10-08 04:15:00,2.9,44,"72 73","4134917","5630282",2193,2193,108,108,44,44,"M18 eastbound at Doncaster 2.2 km slow traffic"
2017-10-08 05:05:00,2017-10-08 05:40:00,0.6,12,"72 73","4134917","5630282",2193,2193,108,108,44,44,"M18 eastbound at Doncaster 2.2 km slow traffic"
2017-10-08 06:25:00,2017-10-08 09:45:00,3.3,52,"72 73","4134917","5630282",2193,2193,108,108,44,44,"M18 eastbound at Doncaster 2.2 km slow traffic"
2017-10-08 10:20:00,2017-10-08 10:40:00,0.3,4,"72 73","4134917","5630282",2193,2193,108,108,44,44,"M18 eastbound at Doncaster 2.2 km slow traffic"
2017-10-08 11:15:00,2017-10-08 13:35:00,2.3,44,"72 73","4134917","5630282",2193,2193,108,108,44,44,"M18 eastbound at Doncaster 2.2 km slow traffic"
2017-10-08 14:15:00,2017-10-08 21:30:00,7.2,110,"72 73","4134917","5630282",2193,2193,108,108,44,44,"M18 eastbound at Doncaster 2.2 km slow traffic"
2017-10-08 22:05:00,2017-10-22 21:35:00,335.5,7926,"72 73","4134917 4134757 4134612 4134358 4134383 4134104 4133992 4133922 4133850 4134540","5630282 5630164 5630056 5629895 5629910 5629745 5629679 5629638 5629595 5630005",5944,2193,506,108,47,27,"M18 eastbound at Doncaster 2.2 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.2 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.4 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 4.2 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 4 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster stationary traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.5 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.7 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.9 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.7 km slow traffic"
2017-10-09 04:20:00,2017-10-10 20:20:00,40,413,"88","4134757","5630164",2940,2940,174,174,42,42,"M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.2 km slow traffic"
2017-10-09 04:20:00,2017-10-22 21:35:00,329.2,11682,"66 69 70","4134757 4134612 4134358 4134383 4134104 4133992 4133922 4133850 4134540","5630164 5630056 5629895 5629910 5629745 5629679 5629638 5629595 5630005",5944,2940,506,165,47,27,"M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.2 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.4 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 4.2 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 4 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster stationary traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.5 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.7 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.9 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.7 km slow traffic"
2017-10-09 04:20:00,2017-10-30 23:55:00,523.6,6250,"86","4134757 4134612 4134358 4134383 4134104 4133992 4133922 4133850 4134540 4135099 4135145","5630164 5630056 5629895 5629910 5629745 5629679 5629638 5629595 5630005 5630418 5630452",5944,1493,506,90,80,27,"M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.2 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.4 km slow traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 4.2 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 4 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster stationary traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.5 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.7 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.9 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.7 km slow traffic M18 eastbound at Doncaster 1.7 km slow traffic M18 eastbound at Doncaster roadworks"
2017-10-11 21:40:00,2017-10-21 10:55:00,229.2,8127,"59 63 64","4134358 4134383 4134104 4133992 4133922 4133850","5629895 5629910 5629745 5629679 5629638 5629595",5944,4171,506,272,38,27,"M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 4.2 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 4 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster stationary traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.5 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.7 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.9 km queuing traffic"
2017-10-11 21:40:00,2017-10-22 21:35:00,263.9,3110,"65","4134358 4134383 4134104 4133992 4133922 4133850 4134540","5629895 5629910 5629745 5629679 5629638 5629595 5630005",5944,3714,506,165,47,27,"M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 4.2 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 4 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster stationary traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.5 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.7 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.9 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.7 km slow traffic"
2017-10-14 16:00:00,2017-10-14 16:25:00,0.4,5,"88","4134104","5629745",5166,5166,506,506,27,27,"M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster stationary traffic"
2017-10-14 17:00:00,2017-10-14 18:35:00,1.6,13,"88","4134104","5629745",5166,5166,506,506,27,27,"M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster stationary traffic"
2017-10-14 19:30:00,2017-10-14 19:45:00,0.2,3,"88","4134104","5629745",5166,5166,506,506,27,27,"M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster stationary traffic"
2017-10-14 20:20:00,2017-10-14 20:45:00,0.4,2,"88","4134104","5629745",5166,5166,506,506,27,27,"M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster stationary traffic"
2017-10-14 21:25:00,2017-10-16 06:20:00,32.9,366,"88","4134104","5629745",5166,5166,506,506,27,27,"M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster stationary traffic"
2017-10-17 08:15:00,2017-10-20 03:05:00,66.8,756,"57","4133922 4133850","5629638 5629595",5944,5703,450,355,38,33,"M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.7 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.9 km queuing traffic"
2017-10-17 12:35:00,2017-10-17 22:35:00,10,72,"55","4133850","5629595",5944,5944,394,394,36,36,"M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.9 km queuing traffic"
2017-10-17 23:50:00,2017-10-18 02:55:00,3.1,21,"55","4133850","5629595",5944,5944,394,394,36,36,"M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.9 km queuing traffic"
2017-10-18 03:30:00,2017-10-18 05:25:00,1.9,13,"55","4133850","5629595",5944,5944,394,394,36,36,"M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.9 km queuing traffic"
2017-10-18 06:10:00,2017-10-18 20:05:00,13.9,97,"55","4133850","5629595",5944,5944,394,394,36,36,"M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.9 km queuing traffic"
2017-10-19 23:05:00,2017-10-19 23:10:00,0.1,2,"88","4133992","5629679",5538,5538,352,352,38,38,"M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.5 km queuing traffic"
2017-10-19 23:45:00,2017-10-22 21:35:00,69.8,782,"88","4133992 4134540","5629679 5630005",5538,3714,352,165,47,38,"M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.5 km queuing traffic M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 3.7 km slow traffic"
2017-10-20 03:45:00,2017-10-20 05:45:00,2,13,"57","4133922","5629638",5703,5703,355,355,38,38,"M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.7 km queuing traffic"
2017-10-21 11:30:00,2017-10-21 14:00:00,2.5,45,"59 63 64","4133992","5629679",5538,5538,352,352,38,38,"M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.5 km queuing traffic"
2017-10-21 14:40:00,2017-10-21 15:15:00,0.6,9,"59 63 64","4133992","5629679",5538,5538,352,352,38,38,"M18 eastbound in direction (M180)/M18/(M62)/Scunthorpe/Doncaster/Hull at Doncaster 5.5 km queuing traffic"
2017-10-24 04:35:00,2017-10-24 06:45:00,2.2,30,"75 77","4135099","5630418",1656,1656,90,90,43,43,"M18 eastbound at Doncaster 1.7 km slow traffic"
2017-11-01 00:00:00,2017-11-29 23:55:00,695.9,33408,"79 80 81 86","4135145","5630452",1493,1493,0,0,80,80,"M18 eastbound at Doncaster roadworks"
